n_features,n_estimators,max_samples,contamination,max_features,bootstrap,threshold,fpr_val,fpr_test,tpr_val,tpr_test,metric_val,auc_val,auc,time_s
40,200,0.2,0.005,0.2,False,0.06738935701619753,0.03825246627743104,,0.9077306733167082,,0.9077306733167082,0.9805644937384744,,0.8835792541503906
40,200,0.2,0.005,0.2,True,0.06403126107257884,0.03825246627743104,,0.9002493765586035,,0.9002493765586035,0.9778960089207221,,0.7996644973754883
40,200,0.2,0.005,0.6,False,0.06946116819573978,0.03382323334004429,,0.9052369077306733,,0.9052369077306733,0.9844389429084828,,1.080721378326416
40,200,0.2,0.005,0.6,True,0.07104576730233814,0.03442721964968794,,0.9052369077306733,,0.9052369077306733,0.9825341016293573,,0.9858031272888184
40,200,0.2,0.005,0.8,False,0.06863508682663244,0.033017918260519426,,0.9027431421446384,,0.9027431421446384,0.9830406869879861,,1.2029271125793457
40,200,0.2,0.005,0.8,True,0.06725653334908455,0.032615260720756996,,0.9052369077306733,,0.9052369077306733,0.983623084427044,,1.1504402160644531
40,200,0.2,0.005,1.0,False,0.0698392516966787,0.03241393195087578,,0.9077306733167082,,0.9077306733167082,0.985450607425467,,1.049654245376587
40,200,0.2,0.005,1.0,True,0.07699085765143965,0.03905778135695591,,0.9052369077306733,,0.9052369077306733,0.9843581101604757,,0.958489179611206
40,200,0.5,0.005,0.2,False,0.06548912136687957,0.035635192268975234,,0.9052369077306733,,0.9052369077306733,0.9814847821055375,,0.9441919326782227
40,200,0.5,0.005,0.2,True,0.0661949376445008,0.03805113750754983,,0.9027431421446384,,0.9027431421446384,0.9817302927501058,,0.8389136791229248
40,200,0.5,0.005,0.6,False,0.0811584403507396,0.03905778135695591,,0.9077306733167082,,0.9077306733167082,0.9846136621402001,,1.1866722106933594
40,200,0.5,0.005,0.6,True,0.08013614756311593,0.039259110126837124,,0.9102244389027432,,0.9102244389027432,0.9855675889800364,,1.067225456237793
40,200,0.5,0.005,0.8,False,0.08198617397308028,0.039259110126837124,,0.912718204488778,,0.912718204488778,0.9856860767348792,,1.3036854267120361
40,200,0.5,0.005,0.8,True,0.07885112401795191,0.036641836118381316,,0.912718204488778,,0.912718204488778,0.9855721075808567,,1.2184767723083496
40,200,0.5,0.005,1.0,False,0.08260610314635086,0.03865512381719348,,0.9102244389027432,,0.9102244389027432,0.9873218102318192,,1.1776564121246338
